"id","Block","Type","shoot","znconc"
"Cascades","1","Cascades",9.63,77
"Cascades","1","Cascades",9.01,87
"Cascades","1","Cascades",10.55,62
"Cascades","1","Cascades",10.76,62
"Cascades","1","Cascades",10.41,64
"DH01","1","DH",7.52,78
"DH02","1","DH",9.7,67
"DH03","1","DH",8.47,59
"DH05","1","DH",7.6,94
"DH06","1","DH",9.53,68
"DH07","1","DH",10.76,55
"DH08","1","DH",9.01,55
"DH09","1","DH",9.32,51
"DH10","1","DH",7.6,84
"DH11","1","DH",10.31,68
"DH12","1","DH",7.79,82
"DH13","1","DH",10.32,82
"DH14","1","DH",6.44,87
"DH15","1","DH",9.21,84
"DH16","1","DH",7.21,94
"DH17","1","DH",11.09,61
"DH18","1","DH",9.62,68
"DH19","1","DH",9.7,61
"DH20","1","DH",10.46,65
"DH21","1","DH",7.6,74
"DH22","1","DH",8.81,70
"DH23","1","DH",7.25,66
"DH24","1","DH",9.46,69
"DH25","1","DH",11.42,54
"DH26","1","DH",10.73,68
"DH27","1","DH",6.92,78
"DH28","1","DH",8.77,72
"DH29","1","DH",7.17,83
"DH30","1","DH",9.56,74
"DH31","1","DH",8.71,92
"DH32","1","DH",9.37,56
"DH33","1","DH",8.59,89
"DH34","1","DH",9.8,81
"DH35","1","DH",9.52,55
"DH36","1","DH",9.18,68
"DH37","1","DH",8.83,65
"DH38","1","DH",8.97,78
"DH39","1","DH",9.67,68
"DH40","1","DH",10.56,73
"DH41","1","DH",11.02,61
"DH42","1","DH",10.98,54
"DH43","1","DH",9.71,53
"DH44","1","DH",8.77,67
"DH45","1","DH",9.97,60
"DH46","1","DH",9.6,52
"DH47","1","DH",7.35,87
"DH49","1","DH",7.96,92
"DH50","1","DH",9.2,89
"DH51","1","DH",9.69,84
"DH52","1","DH",6.95,56
"DH53","1","DH",11.09,53
"DH54","1","DH",10.26,67
"DH55","1","DH",10.94,47
"DH56","1","DH",10.08,78
"DH57","1","DH",12.31,39
"DH58","1","DH",8.56,65
"DH59","1","DH",8.2,93
"DH60","1","DH",9.54,94
"DH61","1","DH",9.32,49
"DH62","1","DH",9.58,58
"DH63","1","DH",10.55,71
"DH64","1","DH",12.22,49
"DH65","1","DH",9.09,53
"DH66","1","DH",10.57,69
"DH67","1","DH",8.81,61
"DH68","1","DH",7.48,60
"DH69","1","DH",11.64,59
"DH70","1","DH",9.53,63
"DH71","1","DH",10.47,51
"DH72","1","DH",11.62,50
"DH73","1","DH",10.97,42
