"Genotype","Type","Row","Range","Rep","yld","tgw","lrow","lrange"
"DH_R003","DH","1","1","1",2.2384,33.4,-12.5,-9.5
"DH_R055","DH","2","1","1",1.1576,31.6,-11.5,-9.5
"DH_R056","DH","3","1","1",1.6424,48.3,-10.5,-9.5
"DH_R111","DH","4","1","1",2.3991,31.6,-9.5,-9.5
"DH_R112","DH","5","1","1",1.9744,33.4,-8.5,-9.5
"DH_R170","DH","6","1","1",1.2741,26.3,-7.5,-9.5
"DH_R172","DH","7","1","1",1.9564,27,-6.5,-9.5
"DH_R232","DH","8","1","1",2.1675,28.4,-5.5,-9.5
"DH_R234","DH","9","1","1",1.3581,32.4,-4.5,-9.5
"DH_R294","DH","10","1","1",1.0736,29.4,-3.5,-9.5
"DH_R295","DH","11","1","1",1.4993,24.2,-2.5,-9.5
"DH_R346","DH","12","1","1",1.8452,35.4,-1.5,-9.5
"DH_R347","DH","13","1","1",1.5729,31.8,-0.5,-9.5
"DH_R255","DH","14","1","2",0.99,29.4,0.5,-9.5
"DH_R362","DH","15","1","2",1.4265,23.3,1.5,-9.5
"DH_R120","DH","16","1","2",0.9938,46,2.5,-9.5
"DH_R270","DH","17","1","2",0.7916,29,3.5,-9.5
"DH_R013","DH","18","1","2",1.5787,29.8,4.5,-9.5
"DH_R367","DH","19","1","2",0.8027,22.6,5.5,-9.5
"DH_R315","DH","20","1","2",1.6943,27.9,6.5,-9.5
"DH_R251","DH","21","1","2",1.4701,29.9,7.5,-9.5
"DH_R281","DH","22","1","2",1.3759,32.9,8.5,-9.5
"DH_R293","DH","23","1","2",1.6609,28.4,9.5,-9.5
"DH_R264","DH","24","1","2",1.1807,32.9,10.5,-9.5
"DH_R053","DH","25","1","2",1.3281,30.3,11.5,-9.5
"DH_R160","DH","26","1","2",1.3892,30.8,12.5,-9.5
"DH_R004","DH","1","2","1",1.3156,30,-12.5,-8.5
"DH_R053","DH","2","2","1",1.0622,29,-11.5,-8.5
"DH_R057","DH","3","2","1",1.2003,34.1,-10.5,-8.5
"DH_R108","DH","4","2","1",1.3561,25.9,-9.5,-8.5
"DH_R114","DH","5","2","1",1.8721,42,-8.5,-8.5
"DH_R169","DH","6","2","1",2.4067,33.1,-7.5,-8.5
"DH_R177","DH","7","2","1",1.4772,31.1,-6.5,-8.5
"DH_R231","DH","8","2","1",1.5918,27.8,-5.5,-8.5
"DH_R236","DH","9","2","1",1.441,26.2,-4.5,-8.5
"DH_R293","DH","10","2","1",1.9433,20.4,-3.5,-8.5
"DH_R297","DH","11","2","1",1.8804,28.6,-2.5,-8.5
"DH_R345","DH","12","2","1",2.4889,35.3,-1.5,-8.5
"DH_R348","DH","13","2","1",2.4189,32.8,-0.5,-8.5
"DH_R178","DH","14","2","2",1.2761,20.7,0.5,-8.5
"DH_R052","DH","15","2","2",1.0383,27.9,1.5,-8.5
"DH_R168","DH","16","2","2",1.4838,32.9,2.5,-8.5
"DH_R047","DH","17","2","2",1.7223,27.1,3.5,-8.5
"DH_R250","DH","18","2","2",1.2395,28.3,4.5,-8.5
"DH_R188","DH","19","2","2",1.4686,29.5,5.5,-8.5
"DH_R236","DH","20","2","2",1.5643,22.5,6.5,-8.5
"DH_R333","DH","21","2","2",2.6502,30.9,7.5,-8.5
"DH_R103","DH","22","2","2",1.6269,37.5,8.5,-8.5
"DH_R298","DH","23","2","2",1.0457,32.8,9.5,-8.5
"DH_R057","DH","24","2","2",1.4245,36.5,10.5,-8.5
"DH_R365","DH","25","2","2",1.7174,29,11.5,-8.5
"DH_R012","DH","26","2","2",1.2511,34.7,12.5,-8.5
"DH_R005","DH","1","3","1",1.8844,36.5,-12.5,-7.5
"DH_R052","DH","2","3","1",1.2761,33.6,-11.5,-7.5
"DH_R058","DH","3","3","1",0.8211,25.4,-10.5,-7.5
"DH_R107","DH","4","3","1",2.6848,36.9,-9.5,-7.5
"DH_R115","DH","5","3","1",1.4012,37.8,-8.5,-7.5
"DH_R168","DH","6","3","1",2.0156,47.4,-7.5,-7.5
"DH_R178","DH","7","3","1",1.6554,33.6,-6.5,-7.5
"DH_R230","DH","8","3","1",1.5695,27.1,-5.5,-7.5
"DH_R241","DH","9","3","1",1.4125,22.1,-4.5,-7.5
"DH_R292","DH","10","3","1",0.8091,27.9,-3.5,-7.5
"DH_R298","DH","11","3","1",1.2939,27.4,-2.5,-7.5
"DH_R344","DH","12","3","1",2.4946,26.7,-1.5,-7.5
"DH_R349","DH","13","3","1",0.9947,37.2,-0.5,-7.5
