Expt,Type,id,Range,Row,Rep,Millday,Millord,myield,lord,lrow
Rosw00,DH,96-8-176,5,26,1,1,1,75.82,-5.5,10.02412281
Rosw00,DH,96-8-035,4,1,1,1,2,75.15,-4.5,-14.97587719
Rosw00,DH,96-8-500,3,21,1,1,3,77.07,-3.5,5.024122807
Rosw00,DH,96-8-097,5,27,1,1,4,73.46,-2.5,11.02412281
Rosw00,DH,96-8-151,3,10,1,1,5,75.75,-1.5,-5.975877193
Rosw00,DH,96-8-307,1,15,1,1,6,79.31,-0.5,-0.975877193
Rosw00,DH,96-8-410,3,27,1,1,7,79.37,0.5,11.02412281
Rosw00,DH,96-8-413,1,2,1,1,8,74.39,1.5,-13.97587719
Rosw00,DH,96-8-486,1,28,1,1,9,78,2.5,12.02412281
Rosw00,DH,92-75-070,6,12,1,1,10,76.42,3.5,-3.975877193
Rosw00,Frame,Frame,3,22,1,1,11,77.7,4.5,6.024122807
Rosw00,DH,96-8-006,3,16,1,1,12,73.27,5.5,0.024122807
Rosw00,DH,96-8-122,6,4,1,2,1,77.85,-5.5,-11.97587719
Rosw00,DH,92-75-046,6,10,1,2,2,76.52,-4.5,-5.975877193
Rosw00,DH,96-8-497,1,6,1,2,3,74.61,-3.5,-9.975877193
Rosw00,DH,96-8-418,2,20,1,2,4,73.92,-2.5,4.024122807
Rosw00,DH,96-8-046,1,20,1,2,5,75.57,-1.5,4.024122807
Rosw00,DH,92-75-035,3,7,1,2,6,75.75,-0.5,-8.975877193
Rosw00,DH,96-8-484,1,13,1,2,7,75.94,0.5,-2.975877193
Rosw00,DH,96-8-246,3,1,1,2,8,77.59,1.5,-14.97587719
Rosw00,DH,92-75-108,2,25,1,2,9,77.3,2.5,9.024122807
Rosw00,DH,96-8-193,4,29,1,2,10,78.28,3.5,13.02412281
Rosw00,DH,92-75-070,6,12,1,2,11,77.48,4.5,-3.975877193
Rosw00,DH,92-75-098,5,16,1,2,12,75.75,5.5,0.024122807
Rosw00,DH,96-8-244,1,26,1,3,1,73.28,-5.5,10.02412281
Rosw00,Trident,Trident,4,18,1,3,2,76.93,-4.5,2.024122807
Rosw00,DH,96-8-402,6,17,1,3,3,76.75,-3.5,1.024122807
Rosw00,DH,92-75-080,2,14,1,3,4,76.58,-2.5,-1.975877193
